zip_x,2010 Census Population,20-29,30-39,40-49,50-59,60-69,70-79,>79
2760,26739,1845,1738,1898,1818,1257,722,495
2762,8264,570,537,587,562,388,223,153
2763,1973,136,128,140,134,93,53,37
2764,3988,275,259,283,271,187,108,74
2766,19031,1313,1237,1351,1294,894,514,352
2767,13566,936,882,963,922,638,366,251
2769,11608,801,755,824,789,546,313,215
2770,5093,351,331,362,346,239,138,94
2771,13708,946,891,973,932,644,370,254
2777,15840,1093,1030,1125,1077,744,428,293
2779,6411,442,417,455,436,301,173,119
2780,49036,3383,3187,3482,3334,2305,1324,907
2790,15717,1084,1022,1116,1069,739,424,291
2791,246,17,16,17,17,12,7,5
2802,786,54,51,56,53,37,21,15
2804,2607,180,169,185,177,123,70,48
2806,16310,1125,1060,1158,1109,767,440,302
2807,1051,73,68,75,71,49,28,19
2808,2401,166,156,170,163,113,65,44
2809,22938,1583,1491,1629,1560,1078,619,424
2812,1497,103,97,106,102,70,40,28
2813,7831,540,509,556,533,368,211,145
2814,7496,517,487,532,510,352,202,139
2815,278,19,18,20,19,13,8,5
2816,32611,2250,2120,2315,2218,1533,880,603
2817,6135,423,399,436,417,288,166,113
2818,18082,1248,1175,1284,1230,850,488,335
2822,6111,422,397,434,416,287,165,113
2825,5377,371,350,382,366,253,145,99
2826,791,55,51,56,54,37,21,15
2827,2172,150,141,154,148,102,59,40
2828,7704,532,501,547,524,362,208,143
2830,5976,412,388,424,406,281,161,111
2831,3515,243,228,250,239,165,95,65
2832,4608,318,300,327,313,217,124,85
2833,784,54,51,56,53,37,21,15
2835,5405,373,351,384,368,254,146,100
2836,136,9,9,10,9,6,4,3
2837,3492,241,227,248,237,164,94,65
2838,3400,235,221,241,231,160,92,63
2839,1902,131,124,135,129,89,51,35
2840,23335,1610,1517,1657,1587,1097,630,432
2841,1392,96,90,99,95,65,38,26
2842,16095,1111,1046,1143,1094,756,435,298
2852,22551,1556,1466,1601,1533,1060,609,417
2857,8412,580,547,597,572,395,227,156
2858,570,39,37,40,39,27,15,11
2859,6738,465,438,478,458,317,182,125
2860,45199,3119,2938,3209,3074,2124,1220,836
2861,14,1,1,1,1,1,0,0
2861,26164,1805,1701,1858,1779,1230,706,484
2863,19385,1338,1260,1376,1318,911,523,359
2864,33396,2304,2171,2371,2271,1570,902,618
2865,16951,1170,1102,1204,1153,797,458,314
2871,17171,1185,1116,1219,1168,807,464,318
2872,218,15,14,15,15,10,6,4
2873,235,16,15,17,16,11,6,4
2874,5860,404,381,416,398,275,158,108
2875,307,21,20,22,21,14,8,6
2876,430,30,28,31,29,20,12,8
2878,15780,1089,1026,1120,1073,742,426,292
2879,20371,1406,1324,1446,1385,957,550,377
2881,7841,541,510,557,533,369,212,145
2882,14184,979,922,1007,965,667,383,262
2885,10627,733,691,755,723,499,287,197
2886,29269,2020,1902,2078,1990,1376,790,541
2888,19912,1374,1294,1414,1354,936,538,368
2889,28217,1947,1834,2003,1919,1326,762,522
2891,21198,1463,1378,1505,1441,996,572,392
2892,4988,344,324,354,339,234,135,92
2893,29630,2044,1926,2104,2015,1393,800,548
2894,722,50,47,51,49,34,19,13
2895,41186,2842,2677,2924,2801,1936,1112,762
2896,11537,796,750,819,785,542,311,213
2898,1696,117,110,120,115,80,46,31
2903,10780,744,701,765,733,507,291,199
2904,29359,2026,1908,2084,1996,1380,793,543
2905,25223,1740,1639,1791,1715,1185,681,467
2906,28387,1959,1845,2015,1930,1334,766,525
2907,27445,1894,1784,1949,1866,1290,741,508
2908,37467,2585,2435,2660,2548,1761,1012,693
2909,43540,3004,2830,3091,2961,2046,1176,805
2910,21000,1449,1365,1491,1428,987,567,389
2911,15574,1075,1012,1106,1059,732,420,288
2912,1370,95,89,97,93,64,37,25
2914,21963,1515,1428,1559,1493,1032,593,406
2915,16897,1166,1098,1200,1149,794,456,313
2916,8139,562,529,578,553,383,220,151
2917,13762,950,895,977,936,647,372,255
2919,28790,1987,1871,2044,1958,1353,777,533
2920,37547,2591,2441,2666,2553,1765,1014,695
2921,12361,853,803,878,841,581,334,229
3031,11247,776,731,799,765,529,304,208
3032,4953,342,322,352,337,233,134,92
3033,4987,344,324,354,339,234,135,92
3034,3970,274,258,282,270,187,107,73
3036,4782,330,311,340,325,225,129,88
3037,4219,291,274,300,287,198,114,78
3038,33269,2296,2162,2362,2262,1564,898,615
3042,6341,438,412,450,431,298,171,117
3043,1573,109,102,112,107,74,42,29
3044,4263,294,277,303,290,200,115,79
3045,13560,936,881,963,922,637,366,251
3046,2758,190,179,196,188,130,74,51
3047,1767,122,115,125,120,83,48,33
3048,3426,236,223,243,233,161,93,63
3049,7688,530,500,546,523,361,208,142
3051,24480,1689,1591,1738,1665,1151,661,453
3052,8258,570,537,586,562,388,223,153
3053,23957,1653,1557,1701,1629,1126,647,443
3054,25477,1758,1656,1809,1732,1197,688,471
3055,15086,1041,981,1071,1026,709,407,279
3057,2500,173,163,178,170,118,68,46
3060,29357,2026,1908,2084,1996,1380,793,543
3062,26694,1842,1735,1895,1815,1255,721,494
3063,16216,1119,1054,1151,1103,762,438,300
3064,14227,982,925,1010,967,669,384,263
3070,5254,363,342,373,357,247,142,97
3071,5109,353,332,363,347,240,138,95
